node_id,kind,module,qualname,file,line_start,line_end,is_external,source_kind
ADD_N,constant_symbol,,ADD_N,.,-1,-1,True,external_placeholder
AssertionError,class,,AssertionError,.,-1,-1,True,external_placeholder
AttributeError,class,,AttributeError,.,-1,-1,True,external_placeholder
CONCATENATED_VARIABLES,constant_symbol,,CONCATENATED_VARIABLES,.,-1,-1,True,external_placeholder
CUDNN_GRU,constant_symbol,,CUDNN_GRU,.,-1,-1,True,external_placeholder
CUDNN_GRU_PARAMS_PER_LAYER,constant_symbol,,CUDNN_GRU_PARAMS_PER_LAYER,.,-1,-1,True,external_placeholder
CUDNN_LSTM,constant_symbol,,CUDNN_LSTM,.,-1,-1,True,external_placeholder
CUDNN_LSTM_PARAMS_PER_LAYER,constant_symbol,,CUDNN_LSTM_PARAMS_PER_LAYER,.,-1,-1,True,external_placeholder
CUDNN_RNN_RELU,constant_symbol,,CUDNN_RNN_RELU,.,-1,-1,True,external_placeholder
CUDNN_RNN_RELU_PARAMS_PER_LAYER,constant_symbol,,CUDNN_RNN_RELU_PARAMS_PER_LAYER,.,-1,-1,True,external_placeholder
CUDNN_RNN_TANH,constant_symbol,,CUDNN_RNN_TANH,.,-1,-1,True,external_placeholder
CUDNN_RNN_TANH_PARAMS_PER_LAYER,constant_symbol,,CUDNN_RNN_TANH_PARAMS_PER_LAYER,.,-1,-1,True,external_placeholder
CalculateCovolvedOutputDim,class,,CalculateCovolvedOutputDim,.,-1,-1,True,external_placeholder
CheckpointReader_GetTensor,class,,CheckpointReader_GetTensor,.,-1,-1,True,external_placeholder
Exception,class,,Exception,.,-1,-1,True,external_placeholder
GLOBAL_VARIABLES,constant_symbol,,GLOBAL_VARIABLES,.,-1,-1,True,external_placeholder
GetTestConfigs,class,,GetTestConfigs,.,-1,-1,True,external_placeholder
IOError,class,,IOError,.,-1,-1,True,external_placeholder
ImportError,class,,ImportError,.,-1,-1,True,external_placeholder
IndexError,class,,IndexError,.,-1,-1,True,external_placeholder
IsLoopExit,class,,IsLoopExit,.,-1,-1,True,external_placeholder
IsLoopSwitch,class,,IsLoopSwitch,.,-1,-1,True,external_placeholder
IsSwitch,class,,IsSwitch,.,-1,-1,True,external_placeholder
KeyError,class,,KeyError,.,-1,-1,True,external_placeholder
LOCAL_VARIABLES,constant_symbol,,LOCAL_VARIABLES,.,-1,-1,True,external_placeholder
LookupError,class,,LookupError,.,-1,-1,True,external_placeholder
MODEL_VARIABLES,constant_symbol,,MODEL_VARIABLES,.,-1,-1,True,external_placeholder
MOVING_AVERAGE_VARIABLES,constant_symbol,,MOVING_AVERAGE_VARIABLES,.,-1,-1,True,external_placeholder
NewCheckpointListener,class,,NewCheckpointListener,.,-1,-1,True,external_placeholder
NotImplementedError,class,,NotImplementedError,.,-1,-1,True,external_placeholder
Queue.Queue,class,Queue,Queue,.,-1,-1,True,external_placeholder
RL,constant_symbol,,RL,.,-1,-1,True,external_placeholder
RNNCell,class,,RNNCell,.,-1,-1,True,external_placeholder
RunOnceHook,class,,RunOnceHook,.,-1,-1,True,external_placeholder
RuntimeError,class,,RuntimeError,.,-1,-1,True,external_placeholder
STATE_CONT,constant_symbol,,STATE_CONT,.,-1,-1,True,external_placeholder
STATE_DIRTY_VARIABLE,constant_symbol,,STATE_DIRTY_VARIABLE,.,-1,-1,True,external_placeholder
STATE_DUMPED_INTERMEDIATE,constant_symbol,,STATE_DUMPED_INTERMEDIATE,.,-1,-1,True,external_placeholder
STATE_IS_PLACEHOLDER,constant_symbol,,STATE_IS_PLACEHOLDER,.,-1,-1,True,external_placeholder
STATE_OVERRIDDEN,constant_symbol,,STATE_OVERRIDDEN,.,-1,-1,True,external_placeholder
STATE_UNFEEDABLE,constant_symbol,,STATE_UNFEEDABLE,.,-1,-1,True,external_placeholder
SaveableObject,class,,SaveableObject,.,-1,-1,True,external_placeholder
SimulateFusedConv2dBiasActivationInt8,class,,SimulateFusedConv2dBiasActivationInt8,.,-1,-1,True,external_placeholder
StopIteration,class,,StopIteration,.,-1,-1,True,external_placeholder
TFRecordCompressionType.GZIP,constant_symbol,TFRecordCompressionType,GZIP,.,-1,-1,True,external_placeholder
TFRecordCompressionType.NONE,constant_symbol,TFRecordCompressionType,NONE,.,-1,-1,True,external_placeholder
TFRecordCompressionType.ZLIB,constant_symbol,TFRecordCompressionType,ZLIB,.,-1,-1,True,external_placeholder
TRAINABLE_RESOURCE_VARIABLES,constant_symbol,,TRAINABLE_RESOURCE_VARIABLES,.,-1,-1,True,external_placeholder
TRAINABLE_VARIABLES,constant_symbol,,TRAINABLE_VARIABLES,.,-1,-1,True,external_placeholder
TypeError,class,,TypeError,.,-1,-1,True,external_placeholder
ValueError,class,,ValueError,.,-1,-1,True,external_placeholder
ZerosLikeOutsideLoop,class,,ZerosLikeOutsideLoop,.,-1,-1,True,external_placeholder
_pywrap_tensorflow_internal.BufferedInputStream_ReadLineAsString,class,_pywrap_tensorflow_internal,BufferedInputStream_ReadLineAsString,.,-1,-1,True,external_placeholder
_pywrap_tensorflow_internal.BufferedInputStream_Seek,class,_pywrap_tensorflow_internal,BufferedInputStream_Seek,.,-1,-1,True,external_placeholder
_pywrap_tensorflow_internal.BufferedInputStream_Tell,class,_pywrap_tensorflow_internal,BufferedInputStream_Tell,.,-1,-1,True,external_placeholder
_pywrap_tensorflow_internal.CheckpointReader__GetVariableToDataTypeMap,class,_pywrap_tensorflow_internal,CheckpointReader__GetVariableToDataTypeMap,.,-1,-1,True,external_placeholder
_pywrap_tensorflow_internal.CheckpointReader__HasTensor,class,_pywrap_tensorflow_internal,CheckpointReader__HasTensor,.,-1,-1,True,external_placeholder
_pywrap_tensorflow_internal.CheckpointReader_debug_string,class,_pywrap_tensorflow_internal,CheckpointReader_debug_string,.,-1,-1,True,external_placeholder
_pywrap_tensorflow_internal.CheckpointReader_get_variable_to_shape_map,class,_pywrap_tensorflow_internal,CheckpointReader_get_variable_to_shape_map,.,-1,-1,True,external_placeholder
_pywrap_tensorflow_internal.EventsWriter_Close,class,_pywrap_tensorflow_internal,EventsWriter_Close,.,-1,-1,True,external_placeholder
